_class,_id,deviceInfo,ipAddress,Latitude,Longitude,qrCode,Year,Quarter,Month,Day
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,66477efdf495144eca1c5e0a,"{""deviceType"":""Other"",""os"":""Mac OS"",""browser"":""Safari""}",172.225.218.38,0.0,0.0,NDI9RY,2024,Qtr 2,May,17
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,66477f0cf495144eca1c5e0b,"{""deviceType"":""Other"",""os"":""Mac OS"",""browser"":""Safari""}",172.225.218.38,0.0,0.0,NDI9RY,2024,Qtr 2,May,17
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664a00e5f495144eca1c5e33,"{""deviceType"":""mobile"",""os"":""iOS"",""browser"":""Mobile Safari""}",152.59.33.171,0.0,0.0,7AaBbC,2024,Qtr 2,May,19
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664b78d8f495144eca1c5e7b,"{""deviceType"":""mobile"",""os"":""iOS"",""browser"":""Mobile Safari""}",172.225.201.19,0.0,0.0,0NH7AA,2024,Qtr 2,May,20
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664be1a0f495144eca1c5e7c,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""WeChat""}",103.193.150.15,24.169093,115.204633,NU2H76,2024,Qtr 2,May,20
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664c1c2ff495144eca1c5e7d,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",152.58.60.181,23.1680065,72.4467512,eYyZz0,2024,Qtr 2,May,21
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664c2c4ef495144eca1c5e91,"{""deviceType"":""Other"",""os"":""Mac OS"",""browser"":""Safari""}",172.225.218.39,0.0,0.0,7VHP4K,2024,Qtr 2,May,21
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664c2c4ef495144eca1c5e92,"{""deviceType"":""mobile"",""os"":""iOS"",""browser"":""Mobile Safari""}",103.55.97.48,26.751965741337163,88.41277955160398,7VHP4K,2024,Qtr 2,May,21
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664ec86df495144eca1c5ea6,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",152.58.117.48,0.0,0.0,9GgHhI,2024,Qtr 2,May,23
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664eca06f495144eca1c5eae,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",157.37.128.255,0.0,0.0,7AaBbC,2024,Qtr 2,May,23
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664ecb05f495144eca1c5eb1,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",152.58.117.48,0.0,0.0,7AaBbC,2024,Qtr 2,May,23
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,664ecb25f495144eca1c5eb2,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",152.58.117.48,28.6018913,77.3896964,9GgHhI,2024,Qtr 2,May,23
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,6650d856f495144eca1c5ede,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",49.36.81.193,0.0,0.0,Lpq90M,2024,Qtr 2,May,24
in.pixiverse.user.management.securetag.db.entity.ScanAuditInfo,6651bc2df495144eca1c5ef3,"{""deviceType"":""mobile"",""os"":""Android"",""browser"":""Chrome""}",103.86.19.228,23.027027027027028,72.57558341659328,EYTLS0,2024,Qtr 2,May,25
